objectid,parentid,item_code,title,commonname,class,order,suborder,family,bone_type,notes,location,subject,cabinet,source,rights,rightsstatement,type,format,group,display_template,language,object_location,image_small,image_thumb,
oc001,,SC 1474,Atractosteus tristoechus,Cuban Gar,Actinopterygii,Semionotiformes,n/a,Lepidosteidae,Full Mounted Skeleton ,,,Fish;Mounted;Full Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc002,oc001,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1474.png,/objects/small/sc1474_sm.jpg,/objects/thumbs/sc1474_th.jpg,
oc003,oc001,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1474r.png,/objects/small/sc1474r_sm.jpg,/objects/thumbs/sc1474r_th.jpg,
oc004,oc001,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1474b.png,/objects/small/sc1474b_sm.jpg,/objects/thumbs/sc1474b_th.jpg,
oc005,,SC 1475,Atractosteus tristoechus,Cuban Gar,Actinopterygii,Semionotiformes,n/a,Lepidosteidae,"Skull, mandible ",Mandible broken ,,Fish;Skull;Mandible,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc006,oc005,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1475.png,/objects/small/sc1475_sm.jpg,/objects/thumbs/sc1475_th.jpg,
oc007,oc005,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1475r.png,/objects/small/sc1475r_sm.jpg,/objects/thumbs/sc1475r_th.jpg,
oc008,,SC 1518,Amia calva,Bowfin,Actinopterygii,Amiiformes,Amiioidei,Amiidae,Caudal Fin bones,,,Fish;Fin Bones,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc009,oc008,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1518.png,/objects/small/sc1518_sm.jpg,/objects/thumbs/sc1518_th.jpg,
oc010,oc008,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1518r.png,/objects/small/sc1518r_sm.jpg,/objects/thumbs/sc1518r_th.jpg,
oc011,,SC 1514,Actinopterygii sp. ,,Actinopterygii,,n/a,,Mounted Skull ,Species determination uncertain ,,Fish;Mounted;Skull,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc012,oc011,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1514.png,/objects/small/sc1514_sm.jpg,/objects/thumbs/sc1514_th.jpg,
oc013,oc011,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1514f.png,/objects/small/sc1514f_sm.jpg,/objects/thumbs/sc1514f_th.jpg,
oc014,oc011,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1514t.png,/objects/small/sc1514t_sm.jpg,/objects/thumbs/sc1514t_th.jpg,
oc015,oc011,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1514r.png,/objects/small/sc1514r_sm.jpg,/objects/thumbs/sc1514r_th.jpg,
oc016,,SC 1515,Actinopterygii sp. ,,Actinopterygii,,n/a,,Mounted Skeleton ,Species determination uncertain ,,Fish;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc017,oc016,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1515.png,/objects/small/sc1515_sm.jpg,/objects/thumbs/sc1515_th.jpg,
oc018,oc016,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1515r.png,/objects/small/sc1515r_sm.jpg,/objects/thumbs/sc1515r_th.jpg,
